,RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,Restorative.Sleep..hours.,PPC,MPC,EB,OR,MS,LA,NES,OS,Body.Weight..kg.,Peak.Power.Mean,Peak.Power.SD,Peak.Power.CoV,Peak.Power.BM.Mean,Peak.Power.BM.SD,Peak.Power.BM.CoV,RSI.Mean,RSI.SD,RSI.CoV,Jump.Height.Mean,Jump.Height.SD,Jump.Height.CoV,HR.min..bpm.,HR.avg..bpm.,HR.max..bpm.,HR.min....,HR.avg....,HR.max....,Total.distance..m.,Distance...min..m.min.,Maximum.speed..km.h.,Average.speed..km.h.,Sprints,Distance.in.Speed.zone.1..m...1.00...5.00.km.h.,Distance.in.Speed.zone.2..m...5.01...6.99.km.h.,Distance.in.Speed.zone.3..m...7.00...11.00.km.h.,Distance.in.Speed.zone.4..m...11.01...14.99.km.h.,Distance.in.Speed.zone.5..m...15.00..km.h.,Training.load.score,Cardio.load,Recovery.time..h.,Calories..kcal.,Number.of.accelerations...50.00....3.00.m.s².,Number.of.accelerations...2.99....2.00.m.s².,Number.of.accelerations...1.99....1.00.m.s².,Number.of.accelerations...0.99....0.50.m.s².,Number.of.accelerations..0.50...0.99.m.s².,Number.of.accelerations..1.00...1.99.m.s².,Number.of.accelerations..2.00...2.99.m.s².,Number.of.accelerations..3.00...50.00.m.s².
168,55.91011235955056,101.0,64.80898876404494,80.33707865168539,7.725730337078651,6.978876404494383,8.59483146067416,90.42696629213484,15.528571428571428,12.561797752808989,2.4953932584269665,4.842696629213483,1.7565168539325844,1.3232584269662921,3.8993258426966286,0.7574157303370787,0.7882022471910112,60.82051282051282,16.075893258426966,7.152247191011237,3.0797752808988768,2.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,47.8,3956.0,127.0,3.2,82.8,2.7,3.2,0.67,0.04,6.2,16.4,0.2,1.1,18.0,144.0,198.0,9.0,72.0,99.0,4138.0,35.0,25.0,2.1,17.0,1414.0,824.0,898.0,555.0,414.0,10.0,78.0,329.0,344.0,353.0,304.0,86.0,832.0,172.0,205.0,30.0,0.0
169,55.91011235955056,101.0,64.80898876404494,80.33707865168539,7.725730337078651,6.978876404494383,8.59483146067416,90.42696629213484,15.528571428571428,12.561797752808989,2.4953932584269665,4.842696629213483,1.7565168539325844,1.3232584269662921,3.8993258426966286,0.7574157303370787,0.7882022471910112,60.82051282051282,16.075893258426966,7.152247191011237,3.0797752808988768,2.0,0.0,0.0,2.0,5.0,6.0,6.0,4.0,69.8,2918.0,311.0,10.7,41.8,4.5,10.7,0.19,0.03,15.1,8.4,0.4,4.6,61.0,134.0,206.0,31.0,67.0,104.0,5790.0,49.0,27.0,3.0,67.0,1081.0,1141.0,1186.0,938.0,1414.0,39.0,152.0,397.0,266.0,229.0,425.0,150.0,998.0,145.0,167.0,22.2,3.0
170,53.0,76.0,70.0,83.0,9.07,8.07,9.72,89.0,22.0,20.0,0.0,5.0,1.32,1.84,4.91,1.01,1.16,68.0,14.4287,8.07,3.16,3.0,4.0,3.0,3.0,4.0,3.0,4.0,3.0,62.8,3952.0,612.0,15.5,62.9,9.8,15.5,0.52,0.22,42.3,15.2,0.5,3.5,63.0,139.0,196.0,32.0,70.0,98.0,3963.0,33.0,26.1,2.1,22.0,1081.0,971.0,736.0,547.0,596.0,28.0,98.0,330.0,222.0,211.0,350.0,94.0,968.0,141.0,164.0,18.8,0.0
171,55.91011235955056,101.0,64.80898876404494,80.33707865168539,7.725730337078651,6.978876404494383,8.59483146067416,90.42696629213484,15.528571428571428,12.561797752808989,2.4953932584269665,4.842696629213483,1.7565168539325844,1.3232584269662921,3.8993258426966286,0.7574157303370787,0.7882022471910112,60.82051282051282,16.075893258426966,7.152247191011237,3.0797752808988768,6.0,5.0,5.0,1.0,5.0,5.0,4.0,5.0,68.7,4915.0,95.0,1.9,71.5,1.4,1.9,0.6,0.03,4.8,14.0,0.2,1.7,69.0,135.0,182.0,35.0,68.0,91.0,4720.0,40.0,26.1,2.4,21.0,1277.0,1204.0,1020.0,668.0,521.0,16.0,85.0,369.0,331.0,359.0,331.0,87.0,923.0,127.0,163.0,19.7,0.0
172,55.91011235955056,101.0,64.80898876404494,80.33707865168539,7.725730337078651,6.978876404494383,8.59483146067416,90.42696629213484,15.528571428571428,12.561797752808989,2.4953932584269665,4.842696629213483,1.7565168539325844,1.3232584269662921,3.8993258426966286,0.7574157303370787,0.7882022471910112,60.82051282051282,16.075893258426966,7.152247191011237,3.0797752808988768,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,71.91519607843138,3890.448275862069,229.4679802955665,5.993596059113301,54.71477832512316,3.2655172413793108,5.993103448275861,0.4960591133004926,0.1432512315270936,11.76551724137931,13.579310344827588,2.0123152709359604,3.806403940886699,64.58490566037736,136.69811320754718,201.35849056603774,32.575471698113205,68.81132075471699,101.24528301886792,3368.066037735849,31.169811320754718,24.477358490566033,1.9858490566037736,30.650943396226417,989.4528301886793,745.4056603773585,721.0188679245283,422.5,462.85849056603774,78.69811320754717,123.83018867924528,164.31509433962265,568.1320754716982,134.03773584905662,178.5188679245283,171.93396226415095,499.4811320754717,176.33018867924528,196.21698113207546,45.97830188679245,0.41509433962264153
173,59.0,110.0,53.0,76.0,7.33,6.83,8.94,93.0,15.528571428571428,15.0,0.0,4.0,1.88,1.02,3.93,0.51,1.57,59.0,16.582,7.71,2.9,0.0,0.0,0.0,0.0,6.0,6.0,6.0,6.0,63.1,4270.0,674.0,15.8,67.7,10.7,15.8,0.44,0.05,11.7,14.4,0.6,4.0,91.0,152.0,194.0,46.0,77.0,98.0,5159.0,43.0,25.8,2.6,23.0,1389.0,1039.0,1068.0,876.0,756.0,16.0,75.0,366.0,347.0,325.0,320.0,101.0,1165.0,216.0,245.0,71.8,1.0
174,55.91011235955056,101.0,64.80898876404494,80.33707865168539,7.725730337078651,6.978876404494383,8.59483146067416,90.42696629213484,15.528571428571428,12.561797752808989,2.4953932584269665,4.842696629213483,1.7565168539325844,1.3232584269662921,3.8993258426966286,0.7574157303370787,0.7882022471910112,60.82051282051282,16.075893258426966,7.152247191011237,3.0797752808988768,5.0,5.0,2.0,4.0,1.0,4.0,3.0,2.0,63.8,3463.0,151.0,4.4,54.3,2.4,4.4,0.37,0.03,7.2,11.3,0.7,6.3,78.0,122.0,175.0,39.0,62.0,88.0,3751.0,32.0,21.7,1.9,7.0,1066.0,963.0,927.0,442.0,324.0,5.0,61.0,335.0,271.0,327.0,283.0,49.0,738.0,87.0,119.0,9.0,0.0
175,55.91011235955056,101.0,64.80898876404494,80.33707865168539,7.725730337078651,6.978876404494383,8.59483146067416,90.42696629213484,15.528571428571428,12.561797752808989,2.4953932584269665,4.842696629213483,1.7565168539325844,1.3232584269662921,3.8993258426966286,0.7574157303370787,0.7882022471910112,60.82051282051282,16.075893258426966,7.152247191011237,3.0797752808988768,4.061111111111111,4.1807909604519775,3.9180790960451977,3.8157894736842106,2.7955801104972378,2.2222222222222223,2.283707865168539,2.642857142857143,71.91519607843138,3890.448275862069,229.4679802955665,5.993596059113301,54.71477832512316,3.2655172413793108,5.993103448275861,0.4960591133004926,0.1432512315270936,11.76551724137931,13.579310344827588,2.0123152709359604,3.806403940886699,64.58490566037736,136.69811320754718,201.35849056603774,32.575471698113205,68.81132075471699,101.24528301886792,3368.066037735849,31.169811320754718,24.477358490566033,1.9858490566037736,30.650943396226417,989.4528301886793,745.4056603773585,721.0188679245283,422.5,462.85849056603774,78.69811320754717,123.83018867924528,164.31509433962265,568.1320754716982,134.03773584905662,178.5188679245283,171.93396226415095,499.4811320754717,176.33018867924528,196.21698113207546,45.97830188679245,0.41509433962264153
176,55.91011235955056,101.0,64.80898876404494,80.33707865168539,7.725730337078651,6.978876404494383,8.59483146067416,90.42696629213484,15.528571428571428,12.561797752808989,2.4953932584269665,4.842696629213483,1.7565168539325844,1.3232584269662921,3.8993258426966286,0.7574157303370787,0.7882022471910112,60.82051282051282,16.075893258426966,7.152247191011237,3.0797752808988768,4.061111111111111,4.1807909604519775,3.9180790960451977,3.8157894736842106,2.7955801104972378,2.2222222222222223,2.283707865168539,2.642857142857143,71.91519607843138,3890.448275862069,229.4679802955665,5.993596059113301,54.71477832512316,3.2655172413793108,5.993103448275861,0.4960591133004926,0.1432512315270936,11.76551724137931,13.579310344827588,2.0123152709359604,3.806403940886699,64.58490566037736,136.69811320754718,201.35849056603774,32.575471698113205,68.81132075471699,101.24528301886792,3368.066037735849,31.169811320754718,24.477358490566033,1.9858490566037736,30.650943396226417,989.4528301886793,745.4056603773585,721.0188679245283,422.5,462.85849056603774,78.69811320754717,123.83018867924528,164.31509433962265,568.1320754716982,134.03773584905662,178.5188679245283,171.93396226415095,499.4811320754717,176.33018867924528,196.21698113207546,45.97830188679245,0.41509433962264153
177,55.91011235955056,101.0,64.80898876404494,80.33707865168539,7.725730337078651,6.978876404494383,8.59483146067416,90.42696629213484,15.528571428571428,12.561797752808989,2.4953932584269665,4.842696629213483,1.7565168539325844,1.3232584269662921,3.8993258426966286,0.7574157303370787,0.7882022471910112,60.82051282051282,16.075893258426966,7.152247191011237,3.0797752808988768,5.0,5.0,4.0,4.0,2.0,3.0,3.0,3.0,75.4,4016.0,226.0,5.6,53.3,3.0,5.6,0.27,0.01,3.4,10.8,0.6,5.8,64.58490566037736,136.69811320754718,201.35849056603774,32.575471698113205,68.81132075471699,101.24528301886792,3368.066037735849,31.169811320754718,24.477358490566033,1.9858490566037736,30.650943396226417,989.4528301886793,745.4056603773585,721.0188679245283,422.5,462.85849056603774,78.69811320754717,123.83018867924528,164.31509433962265,568.1320754716982,134.03773584905662,178.5188679245283,171.93396226415095,499.4811320754717,176.33018867924528,196.21698113207546,45.97830188679245,0.41509433962264153
