RHR,HRV,Recovery,Sleep.Score,Hours.in.Bed,Hours.of.Sleep,Sleep.Need,Sleep.Efficiency....,Wake.Periods,Sleep.Disturbances,Latency..min.,Cycles,REM.Sleep..hours.,Deep.Sleep..hours.,Light.Sleep..hours.,Awake..hours.,Sleep.Debt..hours.,Sleep.Consistency,Respiratory.Rate,Total.Cycle.Sleep.Time..hours.,REM.Percentage,Deep.Sleep.Percentage,Restorative.Sleep..hours.,Restorative.Sleep....,PPC,MPC,EB,OR,MS,LA,NES,OS,Body.Weight..kg.,Peak.Power.Mean,Peak.Power.SD,Peak.Power.CoV,Peak.Power.BM.Mean,Peak.Power.BM.SD,Peak.Power.BM.CoV,RSI.Mean,RSI.SD,RSI.CoV,Jump.Height.Mean,Jump.Height.SD,Jump.Height.CoV,Week.Trimp.Total,Daily.Average,Weekly.SD,Monotony,Strain,RT.Volume.Load,HR.min..bpm.,HR.avg..bpm.,HR.max..bpm.,HR.min....,HR.avg....,HR.max....,Distance...min..m.min.,Maximum.speed..km.h.,Average.speed..km.h.,Sprints,Distance.in.Speed.zone.1..m...1.00...4.99.km.h.,Distance.in.Speed.zone.2..m...5.00...6.99.km.h.,Distance.in.Speed.zone.3..m...7.00...10.99.km.h.,Distance.in.Speed.zone.4..m...11.00...14.99.km.h.,Distance.in.Speed.zone.5..m...15.00..km.h.,Number.of.accelerations...50.00....3.00.m.s².,Number.of.accelerations...2.99....2.00.m.s².,Number.of.accelerations...1.99....1.00.m.s².,Number.of.accelerations...0.99....0.50.m.s².,Number.of.accelerations..0.50...0.99.m.s².,Number.of.accelerations..1.00...1.99.m.s².,Number.of.accelerations..2.00...2.99.m.s².,Number.of.accelerations..3.00...50.00.m.s².,Calories..kcal.,Training.load.score,Cardio.load,Recovery.time..h.
46.0,133.0,72.0,64.0,6.21,5.95,9.26,96.0,5.0,4.0,0.0,4.0,2.08,2.11,1.76,0.27,1.47,65.0,11.8945,5.95,33.5,34.0,4.19,67.5,4.0,3.0,4.0,5.0,3.0,3.0,3.0,3.0,75.6,3100.0,270.0,8.7,41.0,3.6,8.7,0.32,0.05,15.6,9.9,0.3,3.5,3182.527405613991,772.5864542139597,325.34231162325614,3.06909663878073,10227.242969995008,7948.806537639648,88.30809558063162,141.81635833775914,208.545324774112,43.713073066122824,70.56158512508621,104.42702559387997,38.99961504528355,25.20158410140204,2.3147981067264483,54.76067846956752,949.7867813018214,755.0123250148915,941.9383138945757,459.9552302773387,988.7576500638731,18.803994497232473,26.171150972293695,269.24210876232615,240.6857545585324,240.31396813843241,203.4805417154514,90.22559417130343,1.6340560524384065,1002.4833185927046,153.85205454864172,185.95916186704758,125.81141896528526
55.0,127.0,96.0,82.0,7.89,7.29,8.85,92.0,12.807711198126162,12.0,12.02,5.0,3.47,1.49,2.33,0.62,1.23,39.0,17.3633,7.29,44.0,18.9,4.96,62.9,6.0,5.0,4.0,4.0,4.0,2.0,1.0,3.0,71.4,3595.0,56.0,1.6,50.3,0.8,1.6,0.45,0.01,2.2,12.1,0.7,5.4,2988.5448591534155,688.932394298007,342.4523197569657,2.3546969688613295,7310.552863851781,6756.3389720374425,86.699480590916,146.36876689259933,193.74155760742937,43.22456773937618,73.8193164129763,98.10635330904036,35.38379790819744,23.955050651401123,2.2051870348664866,46.48246745209773,909.2658035772711,769.750296398945,942.945579960738,524.0856653270503,504.01672141017553,12.941962767695127,64.18501528084363,307.16098149518996,221.59229434954258,216.84986481138884,278.14242272590815,76.24383969207628,0.30642153525278193,964.3286390677861,157.45976532773514,178.63974254766202,159.36875224676982
72.0,79.0,32.0,71.0,6.1,5.38,7.55,88.0,19.0,18.0,0.0,4.0,1.43,1.02,2.92,0.73,0.5,49.0,16.9922,7.29,23.4,16.7,2.45,40.2,6.0,6.0,6.0,3.0,4.0,2.0,2.6124764815325325,2.0,72.9,3169.0,39.0,1.2,43.5,0.5,1.2,0.33,0.02,6.1,11.0,0.2,1.9,3074.1795067915687,648.7668621181963,373.6115472721697,1.7311246236729008,5350.553535864856,5529.987447780184,80.95197275492498,147.72047922556996,195.94002349792154,41.01955661442979,74.17814227406738,98.63174222280486,41.07151556243926,24.71472280720821,2.5134769076868477,51.47446159385507,870.0039630951563,809.54815970678,1015.3810884058013,660.6968050094249,528.629031221946,9.766724893720248,59.87833351770343,281.08440142823684,240.67776331682487,236.20862014886893,237.5168038605258,79.2600343925501,0.7155570446065009,859.2742474966324,162.38352630704114,180.66566867380826,160.39493976739675
46.0,107.0,91.0,100.0,5.82,5.5,5.51,94.0,6.0,5.0,3.36,2.0,0.84,1.04,3.62,0.33,0.0,19.0,14.1211,7.72,14.4,17.9,1.88,32.3,2.0,4.326055772728476,4.172378773612695,2.0,3.2861967577986433,2.7263592764728424,2.5377968310829995,2.881256807543076,83.4,3237.0,8.0,0.3,38.8,0.1,0.3,0.27,0.02,6.1,8.9,0.5,5.1,2680.304139412729,603.5798050362757,315.2202018052488,2.466928415915211,6480.868139389042,6636.556820895257,85.67496400938803,143.01544764818954,193.8175773239496,43.169218438077976,72.31094823049594,97.67432610837328,35.383716294168536,24.13916438225035,2.149697341412374,46.930034384831906,961.4041050841926,782.0702629773555,932.3183112273749,524.7883532375879,541.9510221587885,15.156929923290509,80.57483009551437,297.6274293964804,240.51204279119267,233.93019671828023,300.0020846357318,77.952369589348,0.5934377311097241,922.6243847928888,144.42612132086995,169.3981085348849,138.52299844189116
56.12620160538429,91.57673007403824,71.63691941180993,88.09851963226562,7.510285667061333,6.708679022158686,6.767876747122987,88.30966775827093,16.687149412157318,13.910434082535074,2.9083732503528568,4.881999803566253,2.0322479623745253,1.3210186226971894,3.357617643754708,0.8135693415832776,0.9266932055282289,58.83943447304636,16.206781836261218,8.959198579513226,27.106756722683308,17.912210796866187,3.5842430088777837,47.630397147574804,6.0,6.0,6.0,4.0,2.0,2.0,3.0,1.0,72.0,3572.0,37.0,1.0,49.6,0.5,1.0,0.48,0.04,9.3,14.0,0.2,1.3,3001.5792569955006,653.9890023124135,338.96248040629075,2.2171022761829815,7020.721436344216,6939.791113079004,83.52864233577237,147.38708815078203,198.8759670159638,42.14412665459121,73.9256444524009,99.90303288025727,36.339281744466845,23.838660833045594,2.267944584704832,47.30149294678464,918.1977383760521,761.7701777855348,946.0949644668788,546.7143796781136,507.63225943738837,11.956931941884427,76.68241539134597,289.78645447475697,224.80614265884205,211.99205510494443,287.00629976247916,74.17341698056019,0.26043459139614455,945.9741634517404,157.5225571659305,179.39064455489887,153.1181197066033
57.96121021508087,90.26419240798903,67.03954846997932,76.72107863563633,7.527249207709002,6.707900971918071,8.54073545316303,90.68364048065045,14.373952352969598,12.782564677285587,3.004574563553019,4.865333732274077,2.028667951711414,1.3229376706405753,3.3578696780630866,0.8269495176204384,0.8938891950900396,58.90840102308345,16.333239689857304,7.10389698573482,27.028068418492186,17.846897279520057,3.704836170804013,47.607435442338065,4.0,3.0,5.0,4.0,2.0,3.0,2.0,3.0,82.6,3515.0,52.0,1.5,42.6,0.6,1.5,0.37,0.01,2.7,10.9,0.6,5.7,3136.7394017804645,684.7327757096343,355.9703919108922,2.0685075590816417,6911.903795316762,6822.5978759475565,83.94553077969388,144.1534962496888,197.93055934395343,42.175325356909475,72.49216551329506,99.49857708565791,37.30470907700686,23.92580495922603,2.288352704808578,47.12051508743243,916.694323513502,783.9186604254453,969.2244074088788,562.5485063037711,490.60036486393903,10.787759528210438,71.13229315392763,295.6557141891086,235.14281396315656,226.99391988337004,283.71113925990704,74.91543723084176,0.26901207935111504,911.3715874985023,147.9792805931083,169.91065628473774,148.0281314772585
57.0,95.0,97.0,100.0,9.95,9.06,8.38,91.0,24.0,23.0,0.0,6.0,3.41,1.9,3.74,0.9,0.62,58.0,17.8125,9.06,34.3,19.1,5.31,53.4,3.0,3.0,4.0,2.0,2.9574440417789205,3.0,2.0,4.0,85.5,4068.0,26.0,0.6,47.6,0.3,0.6,0.32,0.02,7.5,11.2,0.3,2.5,3180.5156406350056,703.4185262827382,336.1443827378305,2.321410301643547,8173.628759989054,7786.054736262462,85.2181779733321,143.93632966209188,192.22099543289917,42.79371784299313,72.66207329112257,96.9117289471559,33.9047811698983,23.17586657778826,2.161755728020842,45.378936731339316,914.6490841465829,738.3907627713518,911.9584766716335,504.8920108934882,443.8479562522729,14.757223023862588,83.94085475301839,306.9069242802475,214.91329921750182,194.60854582315454,320.70127574475697,78.28204030955241,-0.3228611462520292,953.4585368289358,133.5025284208442,157.84549015669802,146.2910939145239
52.0,30.0,37.0,74.0,6.86,6.28,8.48,91.0,13.0,12.0,4.79,7.0,1.89,1.63,2.76,0.59,0.77,67.0,14.7656,6.28,27.6,23.8,3.52,51.3,2.0,4.0,5.0,2.0,1.0,1.0,2.0,5.0,75.4,4165.0,173.0,4.1,55.2,2.3,4.1,0.55,0.02,3.5,13.6,0.0,0.2,3806.3738775224856,785.5726911855845,343.42917174963577,2.5364058313028295,11375.455185588151,8404.779029060397,85.078098980946,143.10347927450184,202.4837381188754,42.51411948831422,71.52078830855199,102.07591770074825,36.92656090674994,23.513915516511247,2.1059692740976397,49.903413479933874,889.8197890902394,725.0856757568193,941.0549828298657,516.6493015563844,654.2127128620251,13.089902003047381,56.55774959896336,273.7142830976696,225.32235326566362,193.0764150407266,270.3101633044827,81.75460928796079,0.0008206010835039024,1079.1059230893684,169.3545967067323,194.97764213812988,166.48595238788369
57.992311739509795,92.31774008354644,71.35109979629483,82.90510730423553,7.516719466233954,6.709832474484012,7.754642789065941,90.54715565128022,16.214640023958502,14.130731501130635,3.0362317905735754,4.841323850036364,2.031075439650562,1.3224455038857008,3.3580522491284968,0.8134976892659065,0.843737457510735,58.9912023165093,16.37431346615319,7.826887770571311,27.030247427142108,17.8795686494963,3.713762248513586,47.56444947579546,3.0,3.0,3.0,3.0,3.0,2.663640423589179,3.0,3.0,74.1,3406.0,12.0,0.4,46.0,0.2,0.4,0.4,0.01,3.2,12.4,0.3,2.8,2944.0060523000707,648.2524078975941,348.4730326780524,2.0752057663811794,6260.94753699347,6724.0661555642,83.77507529100136,146.2834052601195,196.66127503194974,42.24058473431539,73.64911843303604,99.0941643771303,37.04078920688845,23.839800771168438,2.3086812012318303,46.72909128419328,939.5580940898941,789.613386825019,969.9094935076158,577.4217262333382,455.1561226044988,10.360034964283441,81.4266627302864,299.52135133364607,230.4021449182262,224.31721356346668,294.65881458031873,73.33790861328534,0.24012684710908205,911.355075306411,156.65010507571623,175.2884345986555,147.56080564897633
59.0,112.0,66.0,66.0,6.79,6.27,9.52,92.0,10.0,8.0,5.29,5.0,3.17,1.44,1.66,0.53,1.34,87.0,14.4141,6.27,46.7,21.2,4.61,67.9,4.0,3.0,5.0,2.0,3.0,5.0,3.0,1.0,71.4,3372.0,26.0,0.8,47.2,0.4,0.8,0.37,0.01,1.4,11.0,0.5,4.8,3057.2749627571784,678.2909682620974,369.94768726856205,1.8853689585353317,5997.709683943222,6389.803331710625,87.56707420050218,143.6316526378645,202.41953992558115,43.80695220576743,72.40316515089215,102.00025411427701,37.042894888754034,23.873221760135923,2.3066016261447766,43.87545841221346,907.1708787923385,774.3617482537483,966.5875248391081,563.5767977648152,392.20469451672585,6.180936256038602,74.54073340939972,292.10550362054676,221.34988502798646,217.86190917609628,284.48651695994215,63.07763993911213,0.2239998220219741,878.5728295900539,154.96147409241118,171.68657603177206,150.63862307353304
